,H84014,P81089,E85122,J82080,D83009,E85117,L84048,E82059,B82106,H83004,P89003,E85124,F85035,E83020,H85045,A86020,J82216,F83010,G84016,H85686,H81021,H81090,H83042,J82025,B81113,D81087,J81033,E87061,H84016,F84003,E84024,G82071,G82210,E85020,J82631,E85061,H83627,J82050,A85008,J82138,Y02501,F84685,H85101,H85001,K81006,Y02842,F86005,G85692,E85052,F84669,H81015,K83040,E85755,E85733,L81046,F83053,D82047,K82001,A82035,Y01011,K82014,E85719,E85728,J82016,P84690,F81105,G85051,G85136,F84074,E85074,D82088,E86036,N84003,H81047,H84639,L81056,B85611,H84040,E85123,G84015,E87063,E85636,M83639,H81050,Y01839,G82135,E85713,E85053,C83075,G85004,F84601,F81037,F81001,E85066,E85019,E83010,P85610,E83028,E87609,L81031,F83064,H81002,B82045,J82147,P92634,J82101,C84086,P91014,E87007,P83019,H84017,K84044,H81110,K81070,F84036,D82050,E85023,P83009,F83059,E85630,F83008,E85088,F85053,E85693,E85003,H85115,F86012,H84007,J81044,E87003,E85112,H84048,D81005,E86001,E84059,H84023,F81066,G82158,H85049,J82063,E83639,E84058,E83008,M91641,H81134,E85657,E85685,G85055,P81046,G84018,Y03441,Y04273,G82212,J82018,E85030,K81076,E83018,H85041,E85050,D83048,E85026,B83038,J82064,E85605,M86023,M89606,E86015,Y02204,K81605,E82005,E85680,E85120,G85708,H82009,N81064,G83633,D82064,G85120,F84017,E83005,E85126,J82116,Y01206,E83021,K82023,J82044,G85039,E81044,E87046,E85108,E83658,J82124,E85663,E85683,M83021,M84016,N82019,K82047,E84647,E86041,E87016,E83045,G85674,D82013,E82007,E85007,E85745,H84044,E82064,G84017,F81746,E85723,C84142,E82123,E85028,E85041,G85112,E85625,L81034,E85111,J81021,J82628,M88618,E84709,F84121,F86607,A81011,F84083,Y02849,E82017,H81133,E85096,Y02906,K82007,J83056,D82011,K84040,E85726,F86025,G82014,B83026,F83623,E85056,B85622,E87048,A82031,H84031,E85116,B86028,E87004,F84658,G83065,A85001,E83027,G82684,K82070,G84630,F85025,H82022,F81043,K83037,F81683,E85064,J81004
2015-11-01,,,,,,,,50,,,,,,,75,,,,,,,,,75,,,,,50,,,,,,,,,,50,,,,160,,,,,,25,,,,,,400,,,,,,,,,,25,,,,,,,,75,,,,,,25,,,25,,,,25,,,,,,75,,,,,,,,,,,,,,,,,,75,25,25,50,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,50,,,,,,,,,25,,,200,,,,,,,,,,,,,,100,,,,100,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,100,,,,,,,,,,,,,,,,150,,,,,,25,25,50,50,50,25,25,25,50,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,75,,25,,,,,100,,125,,,,,50,25,,,,25,,,,,50,,,,,,,100,,,,,,,,25,100,,,,,,,,,,25,,,,25,,,,150,,,,50,,,,,25,,,50,,,,,,,,,,,,,,,75,,,,,,,,,25,,30,,,,,,,,,25,,25,,50,,,50,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,25,,,,,50,,,,,,25,75,,,,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,25,100,,,,,,50,25,,,,,,25,,,,,25,,,,,25,,,,,,,,,,100,,,,,,,,150,,,,,,,,,,25,25,,,50,,50,,,,,25,50,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,,25,75,,25,,,,,100,,25,,,,,50,,,,,,,,,,,,100,,,,25,,,,,,,,,,100,,,,100,,,,,,25,,,,25,,,,,,,,,,,,,,,,,,,,,,,25,,100,,,,,,75,,,,,,,,,,,30,,,25,,,,,,25,,,,50,,,,,,,,,,,,25,25,25,25,25,50,25,25,80,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,75,,,,,50,,,,,,25,,,,,,,,,,,,,,,50,,,,,,,50,,,50,,50,,,,,100,,,25,,25,,,25,100,,,,,,,,,,,,,,25,,,,125,25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,50,,25,,,25,,25,,,,,,,,,,,,,,,,,,,50,,25,25,25,50,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,,,,,75,,25,,,,75,100,,25,,,,,50,,,25,,,,,,,50,,,,200,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,,50,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,50,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25,50,25,25,25,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,75,,25,,,,,,,100,,,,,50,25,,,,,,,,25,50,,100,,,,,100,,,,,,,,,100,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,25,,,,,,,,,50,,,,,,25,25,25,80,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,75,,,,,,,,,,,,75,,,,,,,100,,25,,,50,,50,,,,,,,,,,50,,50,,,,,,,,25,,,,,,,,,,,25,,,,,,,,75,,,,,75,,,,,,,,,,,25,,,,,,,,,,,,,,100,,,,,,,,,,,,150,,,,,,,,,,25,25,,25,,,50,,,,,,,,,,,,,,,,,,25,25,,,,,,25,,,,,,,,,,,,,25,50,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,25,,,25,,,,,100,,25,,,,,,,,,,,,,,,,,50,,50,,,,,50,,,,,,,,,,,,,,,,,,,,25,,,,,150,,,,,,,,,,,,,,,,,,,,,100,,,,50,,,,,,50,,,,,,,,,,,,,,50,,50,,,,,,50,,,,,,,,,,,,,50,,,,,80,,,,,,,,,,,,,,,,,,,,,50,,25,,75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,50,,,,,,,75,,,,,,,100,,,,,,,,25,,,,,,,,,,,50,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,50,,,,50,,,,,,,,,,,,,,,,,,,,,50,,,,,,,25,,,,,,,,,,,25,50,25,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,75,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,25,,,,,,100,,,,150,,,,,,,25,,25,,,,,125,,,,,,25,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,25,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,50,,,25,,,,,,,,,,,,,,,,25,,75,50,,,25,,,50,50,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,25,25,,50,,,,150,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,,,,,,,,,,,,,,,50,,,25,,,,,,,,,,,,,,,,,,,,,,,25,,75,50,,,,,,,,,,,25,25,25,25,25,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,25,75,,,,,,,,,,,,,,,,,25,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,25,,,,,,5,,25,,,,,,,,25,,,,,,,25,,,,,,,,,25,,,,,,25,50,50,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,75,25,,,,50,,,,,,,75,,,,,,,,,,,,,,100,25,,,,,,,,,50,,50,,,,,,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,5,25,,,,,,,,,,,,,,50,25,,,,,,,,,25,,,25,,,,,,,,,,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,25,25,,,,100,,50,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,35,25,25,25,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,,,150,,,,,,,,,,,,,,,25,,,,,,,,,25,,,,,,,,,150,,,,150,,25,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,100,25,,,,,,,,,50,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,75,,,,,,25,,,,,,75,,,,,,5,,,,,,,,50,25,,,,,,,,,50,,50,,100,,,,,,25,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,50,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,25,,,,,50,,,,,,,,,,,,,,,25,,,,,,,,50,,,,,,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,25,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,55,25,,,,,,,,,,,,,,25,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,50,,,25,,,,,,,,,50,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,25,,,,,50,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50,,50,,150,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,50,,100,25,,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,75,,,,,,,,,,,,150,,,,,,,,,,,,,,50,25,,,,,,,,,50,,50,,,,,,,,,,,,,,100,,,,100,,,,,,,,,,,,,,75,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50,,50,,150,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,25,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,25,,,,25,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,,,75,,,,,,,100,,,,,,,,,,25,,,,,,,,,50,,,,25,,,,25,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,25,,,,,,,,,,,25,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,25,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,25,,,,,,,,,25,,,25,,25,,,,,,25,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,50,,,,,,,75,,,,,,,,,,,,,,50,,,,,,,,,,50,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,50,50,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,,,150,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,50,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,50,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,25,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,25,,,,,,,,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,50,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,100,,,,,,75,,,,50,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,50,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,50,,,,,,,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,25,,,,,,,,,,,150,,25,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,100,,,,,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
