,C81057,G81012,M87006,P84071,Y03441,M87015,P81072,Y00080,M88643,N84025,D81084,M81629,D81053,L83067,P86003,P84017,F81100,N83035,P84054,C84114,B82095,P84068,N82004,E87677,D82022,N85007,C81072,D83608,C81662,C83641,Y00592,M83025,F81055,N85020,M83639,B82611,G85055,C83064,C81106,P92605,M85177,M86046,G81027,C83045,L84059,M83107,H82615,N82091,C84090,P81130,P84072,M88610,P88024,M81029,D83057,Y04764,Y02753,M85003,N81059,G81057,P87016,L83078,M85063,M83665,M85670,A83013,F81105,E84069,M89010,M88023,C84036,J82099,M83038,E81026,N81043,N82041,D81002,M89015,N82671,N82645,N83024,L82068,M85167,M87034,G81004,N81082,P81096,P91604,M87602,L83025,D83007,C81604,M91011,M81072,N82046,L83099,C84712,M91015,M88639,G81022,D83002,M87617,M85178,C81071,N82116,E82031,P81112,G81029,F81026,N81050,L83083,J82163,P81140,C81087,L83092,M84040,P86012,C84658,B82100,N83020,M85052,P82007,B87027,M91623,M85069,P84669,M85037,M83071,P84055,F82055,M82003,M83080,J82134,M91612,P83019,D83012,C83028,M83117,B82063,A81034,G82634,B86029,D82105,D81026,M92024,P84050,E81003,A86026,D81618,N84027,P92023,P84678,P83009,M83016,Y04927,M87027,Y00726,Y02688,B86004,M88038,K83081,C81059,N81046,M83026,N83053,M83738,M84010,G84027,N84036,B82061,C81653,L84025,N82621,D83081,M83051,C83009,C83003,L83657,M83024,G81008,C81042,A82032,C82040,F81051,N81108,P88007,D81025,D83027,C81640,D83048,P92010,P87019,Y03079,M85031,L84037,K82074,M85065,M81047,E82085,P81037,D81058,L83023,P91004,F84708,K81002,P81088,M85070,M89007,M87010,K83053,M85706,P82023,P81213,L84069,P85008,P81128,P81118,K83625,P92002,N84015,P81100,N84023,C82076,F85071,Y04664,B85055,G82082,F81741,P91011,P87620,C81115,G81032,Y03700,E81061,M83052,M83125,M83661,H81030,M83146,N81018,M83020,N81009,C81067
2015-12-01,452,2,,452,,,,,452,226,226,,,,,,,452,,,226,904,,,,,226,226,,,,226,,,,,,,,,,452,,,,,2034,,,452,,,452,,,,,,,,,,,,452,,,,,,,226,1,,226,,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,1,,452,,,,,226,226,226,,,,,226,,452,,,226,452,,,,904,,,,,,226,452,,,,,,,,,226,,,452,,,,,452,,,,,,,,,,,,,,,226,,,,,452,,226,1,,226,226,,226,,226,226,226,452,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,452,1,,226,,,,226,226,226,226,,,,,452,,226,,,452,,,,,,226,,,,,226,,,,,,,,,,226,,,,,678,,,226,226,,,,,,,,,,,,226,,226,,,,,226,,,1,,226,,,,,226,226,226,678,678,226,226,452,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,1,,226,452,226,,226,226,452,226,,,,226,,,226,,,452,452,,,,904,,,,,,226,452,,,,,,,,,,,,,,1356,,,452,,,,,,,,,,,,,226,,226,,,,226,452,,226,2,,452,226,,,,226,452,226,678,,,452,226,,226,226,452,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,1,,452,,,,,226,,452,,,,226,,,226,,,226,,,,,,452,,,,,226,,,,,,226,,,,,,,,,,,,226,,,,,,,,,226,,,,,,226,,,,,226,,226,1,,,226,,,,226,,,,452,,,,226,,,226,,226,452,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,452,1,,226,,,,,226,,226,,,,226,,,226,,,226,452,,,,,452,,,,,452,,,,,,,,3,,,,,,,,,,226,,,,,,,,,226,,,,,,226,,,,,226,,,1,,,,,,,226,,226,,452,,,226,,,,452,,,,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,1,,678,,,,,,,226,,,,,,,226,,,452,452,,,,,,,,,,226,452,,,,,,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,226,,,1,,,,,,,226,,226,452,,,,452,,,226,,,,452,452,226,452,226,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,452,1,,226,,,,,,,226,,,,226,,,226,,,226,,,,,904,452,,,,,226,,,,,,,,,,,,,,,678,,,226,,,,,,,,,,,,,,,,,,,,226,,,1,,,226,,,,226,,,,,,,226,,,,452,,,,,226,226,452,,,,,452,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,452,1,,226,,,,,,,226,,,,,,,226,,,226,452,,,,,,,,,,226,,,,,,,,,,,,,,,1356,,,452,,,,,,,,,,,,,,,,,,,,226,,,,,,226,,,,452,,226,,,,,226,,,,452,,,,,226,226,226,,,,,,226,452,226,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,1,,452,,,,,,,226,,,,,,,452,,,452,452,,,,,452,,,,,226,,,,,,,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,452,,,3,,,226,,,,226,,,,,,,226,,226,,226,,,452,,,226,,,,,,452,,,,226,,,452,4,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,452,1,,226,,,,,,,226,,,,,,,226,,,,452,,,,904,452,,,,,226,452,,,,,,,,,,,,,,678,,,226,,,,,,,,,,,,,,,,,,,,452,,,1,,,,,,,,,452,,,,,226,,,,226,,,,,226,,452,,,,,226,,452,,226,,,226,,,226,226,452,226,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,1,,452,,,,,,,226,,,,,,,226,,,,452,,,,,,,,,,226,,,,,,,,3,,,,,,,678,,,226,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,452,,226,226,,,,,452,,,226,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,2,,226,,,,,,,226,,,,,,,226,,,,452,,,,,452,,,,,226,,,,,,,,3,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,226,,,,,678,,,226,,,,678,,452,,226,,,,,,,,,,226,,452,,452,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,904,1,,452,452,,,,,,226,,,,452,,,226,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,904,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,226,,,,,,,,,,,,,,,,226,,,,,,,,,,226,,226,,,452,226,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,452,1,,226,,,,,,,226,,,,,,,226,,,,452,,,,452,452,,,,,226,,,,,,,,,,,,,,,678,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,226,,,,226,,,,,226,,,,,,,,,,,,,,,,,,,226,,226,,226,,452,226,,226,226,,,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,1,,226,452,,,,,,226,,,226,,,,226,,,,452,,,,226,452,,,,,452,452,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,452,452,,,,452,,,,,226,,,,,,,,,452,,226,,,,,,,,,,452,,452,,226,226,,,226,,,,226,678,226,452,226,226,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,452,1,,226,452,,,,,,226,,,,226,,,226,,,,,,,,226,,,,,,226,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,226,,,,,,,226,,,,452,,,,,226,,,,,,,,,452,,,,,,,,,,,,226,,226,,226,226,,,,,,,226,,,226,,,226,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,452,1,,452,,,,,,,226,,,,,,,226,,,,,,,,,452,,,,,226,,,,,,,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,226,226,,,,226,,,,,226,,,,,,,,,,,,,,,,,,,,,226,,226,,,226,,,,,,,,452,,,,,226,452,226,,226,226,1,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,1,,226,,,,,,,452,,,,452,,,226,,,,,,,,,,,,,,226,,,,,,452,,3,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,226,226,,,,226,,,,,226,,,,,,,,,,,,,,,,,,,452,,226,,452,,,226,,226,,,,,226,904,,452,,,226,226,,,226,,,,226,226,226,452,452,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,452,1,,452,,,,,,,,,,,,,,226,,,,,,,,,452,,,,,226,,,,,,452,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,,,,452,,,,,226,,,,,,,,,452,,,,,,,,,,452,,226,,452,,,452,,226,,,,,,,,,,,226,226,,,226,,,,226,226,226,452,,,226,452,452,226,452,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,452,1,,226,,,,,,,226,,,,226,,,226,,,,,,,,,452,,,,,452,452,,,,,452,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,226,226,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,226,,452,,,226,,,,,,,,,226,,,,,226,,,226,,,,226,,,,452,,226,226,,,226,226,226,226,226,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,2,,452,,,,,,,452,,,,,,,226,,,,,,,,,,,,,,226,,,,,,226,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,,,,1,,,226,,,,,,,,,,226,226,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,226,,678,,,226,,,,,,,226,,,,,,,678,,,226,,,,226,,226,226,226,,226,452,,226,226,226,452,,226,452,226,226,226,5,226,452,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,452,,,226,,,,,,,,,,,226,,,226,,,,,,,,,452,,,,,226,452,,,,,452,,,,,,,,,678,,,452,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,226,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,226,,226,,452,,,452,,,,,,,,,,,,,,452,,,,,,,452,,452,226,452,,226,,,226,226,226,452,226,,,226,,452,,,226,226,,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,2,,452,452,,,,,,452,,,,226,,,226,,,,,,,,,,,,,,452,,,,,,226,,,,,,,,,678,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,226,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,226,,,,678,,,226,,,,,,,226,,,,,,,226,,,,,,,226,,,452,,226,,,,,452,226,452,226,,,,,,,,226,226,,,,,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,452,1,,226,452,,,,,,226,,,,226,,,226,226,,,,,,,,452,,,,,,,,,,,452,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,226,,,,1,,,226,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,226,,,,452,,,226,,,,,,,,,226,,,,,452,,,,,,,452,,452,226,678,,226,,,452,226,226,,,,,226,,,,,452,226,226,,,,,452,226,452,226,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,1,,226,678,,,,,,226,,,,226,,,226,,,,,,,,,452,,,,,226,,,,,,226,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,226,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,,,226,,,,,,,,,,,,,,226,,,,,,,,,226,226,226,,226,,,,226,,452,226,,,,,,,,226,,,,,,,,226,,226,,226,226,452,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,1,,452,,,,,,,226,,,,226,,,452,,,,,,,,,,,,,,226,,,,,,226,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,226,,,,1,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,452,,,,,,,,,,226,,,,678,,,226,,,,,,,,,,,,,,452,,,,,,,,,,226,226,,,,,,226,,452,,,,,,,,,226,,,,,,,,,,,452,,,226,,226,452,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,1,,,678,,,,,,226,,,,226,,,226,,,,,,,,,452,,,,,452,452,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,452,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,226,,,,,,,,,,,,,,226,,,,,,,,,226,226,,,226,,,226,452,,,226,,,,,,,,226,,,,,,,,226,,,,,226,226,,,,,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,1,,452,,,,,,,226,,,,,,,226,,,,,,,,,,,,,,452,,,,,,226,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,452,,,,904,,,452,,,,,,,,,,,,,,452,,,,,,,,,226,226,452,,226,,,452,226,,,226,,,,,,,,452,,,,,,,,226,,,,,,,,,,,,,226,226,226,226,226,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,1,,452,,,,,,,452,,,,,,,226,,,,,,,,,452,,,,,452,,,,,,452,,,,,,,,,,,,904,,,,,,,,,904,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,226,,,,,,,,,,226,226,,,,,226,226,,,226,,,452,,,,,226,,,,,,,,226,,,452,,452,,226,,678,,,,452,452,,226,,,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,,1,,226,,,,,,,,,,,,,,226,,,,,,,,,452,,,,,452,,,,,,226,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,,,,,,,,,,,,,,,,,452,,,,,,,,,,226,452,,,,,,226,,,,,,,,,,,226,,,,,,,,452,,,,,226,,226,,,,,,452,226,,,,,,,,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,2,,452,678,,,,,,452,,,,,,,452,,,,,,,,,,,,,,,452,,,,,226,,,,,,,,,,,,452,,,,,,,,,904,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,226,,,,,,,,,,226,452,,678,,226,,226,,,,,,,,,,,226,,,,,,,,,,,452,,,,226,,678,,,,226,226,,,226,,,226,226,,226,,226,452,226,226,226,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,1,,226,452,,,,,,226,,,,226,,,,,,,,,,,,452,,,,,452,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,226,,,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,226,,,,,,,,,,226,226,,452,,,,452,,,,,,,,,,,226,,,,,,,,226,,,,,226,,678,,,,,,,226,,,226,,,,,,226,,,,,,,,452,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
