,B86013,J81003,A82060,B86018,C83006,B86006,D83010,B86093,G81025,L84008,K84005,K84045,Y02764,Y01717,B86044,B86052,E86038,J82090,L84609,B86008,B86075,Y01291,B86067,B86004,K84033,L84050,B82059,A85005,L84026,B86096,J81059,B86024,B86049,L84003,Y02403,L82035,J81013,J83643,E82046,M82035,J81014,K84042,N85003,K84021,M85663,B86048,K84003,B86086,L84053,J81041,D81044,K84023,N81087,J81057,B86062,K84014,B86074,F86038,J82629,E81016,B86051,K84040,B86015,B81003,J81002,J81061,D81061,K84010,B82001,F81152,L84055,J81058,B86016,K84051,F81011,E87609,L84037,J81021,L84057,C81072,D83051,B86055,B83022,K84618,L84056,J82150,K84028,J81067,G81011,B86037,K84017,Y00215,A85614,F81005,F83032,F84031,J81047,E85003,M82616,J83004,J81054,F86664,B86108,M83625,K84052,J81010,F86032,F81165,K84022,F84698,K84038,K84004,K84073,J81063,B86068,F86637,B86060,K84002,C84055,E85718,F81072,M82055,A83041,J81006,A85006,A82052,J81028,F84083,J81043,K81046,J81653,J81049,K84043,Y00198,E81020,J81018,J82007,J81625,H81133,L84073,J81042,G82187,L84015,G83004,K83039,M82619,G82762,A81021,A82016,F81042,A83009,K84044,A82017,F86607,B86100,A85605,C86006,J82079,N85014,K84072,J82039,J81087,B81009,L84038,F86696,J82060,J82106,B86023,Y04938,L83083,J81034,F81038,B86081,B86030,J81036,J81046,E82094,E82042,H82005,B86050,A84006,G82150,N82022,N85058,Y02071,J81050,E85708,J81064,N85052,J81056,H82035,Y00445,E85052,F84097,P82002,E82652,E82031,B86682,K83621,J81070,K84059,P86011,F81164,J82029,F81096,L84041,B86059,C87005,K84082,G85011,J82149,L84005,L81025,J82139,F81080,G83031,M83704,J84019,J81030,F86691,K84076,K84055,J81062,B86029,L84004,J81019,L84023,J81646,A83018,B86064,J81044,H82003,B86658,G81055,J81022,K81036,G82123,F86644,D82085,J83632,C83048,L84059,L85013,A85013,L84027,F82680,G85715,F81159,F81085,B82013,B86077,F81097,B83040,B81045,L83020,J81038,E82089,G84027,J81066,N84041,E82043,L81087,B83056,N82113,B86007,J81048,H81078,E82080,J81071,G81031,G85705,B87013,F81045,E82019,B83019,J81077,F86057,F81084,Y00025,L85023,E82075,C81015,J81634,L82029,P88015,M83011,J81072,M85019,E87754,E82054,B86033,K84009,K83015,J81011,K83051,K84613,H81104,A86026,J82089,M87602,N81057,C81018,Y02477,C81025,B86034,E87034,B86047,F81121,E81064,J82144,E82095,B85020,K84019,K84071,B86035,B86071,E84702,J81012,H85025,Y00737,Y02653,K84024,B86672,J81633,B86667,E87681,N85002,K84001,G82688,J82082,J81031,D81024,G82231,B86003,B86069,K84036,G82604,M83009,J82040,B86042,G81041,J81016,M87011,M83075,B86054,N84002,G82147,J82053,C88085,K84031,J82077,J81637,A81002,D82003,B86066,B86017,K84006,F81036,B86032,F81186,Y00776,D82054,P85005,G82158,F81067,B86101,C83056,C84086,N82077,C88087,K84054,B86028,F84074,B86038,B86009,G81027,Y01838,B86057,D82038,B86014,E82107,J82085,B82028,J81045,G82115,B86104,Y02064,B86020,F81081,E82037,B86056,J81033,E82022,E82028,Y02002,D83029,E82004,M81074,B81675,J81055,M87638,B83002,K84065,J81621,B86106,K82079,D82067,G81100,G81082,A81057,M81008,Y05132,Y05364,Y06409,J82024,B86058,B82020,M91616,H85662,K84047,G82228,F85031,K84060,K84041,K84075,K84030,J81025,B86012,D82057,K84063,B86025,Y00023,G81043,B86036,B87039,B86022,Y00969,B86010,L81064,J81004,L83092,C84072,J81027,D81003,C84694
2015-11-01,1,,,2,,4,,2,30,,1,,,,1,1,,2,,1,,,1,,,1,,,,,15,,1,2,,1,,,,,42,,,,10,,,,,,,6,,,1,,,,,,,,2,,,,,,1,,,14,,3,,,,,,,,,,,3,,,,,,1,4,,,14,45,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,21,,15,,,,,,,,,,,1,,,1,,30,,,,,1,,6,,,1,,,,,,,,,,,,1,1,,2,,,1,,,,,,,3,,,1,,,,,,20,,,28,,4,1,,,,1,24,1,,,,56,1,2,1,3,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,1,,,1,,1,,,30,,1,,,,,2,,1,,1,,,1,,,,,,3,,,,1,2,,2,,,,,17,3,,3,,,,,,,,,,,,,,,,,3,,2,,1,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,14,45,,,,,,,,,,,,,,,,,3,,1,,,2,,,,,,12,,,10,,,,,,,,,,,,,1,,2,1,,90,,,,,1,,,,,2,,,,,3,,,,2,,,1,,,4,5,,1,,,,,,,,,,,,,,,14,,,,,,,,,,,1,4,1,,,,,2,1,,,,,1,1,1,4,1,1,21,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,1,,,1,,2,,2,30,,,,,5,1,2,,1,,2,,,1,1,,1,1,,,,15,,1,3,,,,,,,,,,,,,,2,,15,,,,,2,,,,,,,3,1,7,,,,,1,,,,,,,,2,,,,,,,,,16,,,,,1,12,,,14,45,,,,,14,,,,,,,,,,,3,,,2,,,,,50,15,,,12,,,3,,,,2,,3,,,,,,,1,,1,1,,60,,,,,1,,,,,1,,,,,,,,,2,,,1,2,,,1,,1,,,,,,,,,,,,,,,,20,,,28,,4,,,,,2,,1,,,,,1,1,,,,10,1,,,,2,,,,,3,3,4,1,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,3,,,1,,2,,,30,,,,,,1,1,,1,,2,,,2,,,1,,,3,,45,,,2,,1,,,,,28,,,,10,1,,,,,,6,,,1,,,,,,1,,,,10,,,,1,,,,,3,,,1,,,,,,,,3,,,15,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,15,,,,,,11,,15,,,,,,,,,,,1,,,1,,60,,,,,1,,,,,1,,,,,,,,,,,,1,1,,,10,,1,,,,,,,3,,,,,,,,,10,,,,,,,,,,,,1,,,,,1,,,3,,,1,,,,,,,,,,,,,,,1,15,1,1,14,2,2,160,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,2,,,1,,,,1,30,,,,,,1,2,,1,,,,,,2,,2,,,,,,,,2,,,,,,,14,3,,3,,,,,,,,,,,1,,,,,,1,1,3,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,25,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,5,,3,,,,5,,,1,,,1,,,,,,,1,,,,,3,,1,,,3,24,,,2,,2,,,,4,,,1,,,,,,,,133,,,,,,,,4,,,28,,,,,,,2,15,1,,,,,4,1,,,,,1,2,,,2,,,,,,,,,3,,1,,,1,,,2,,,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,2,,,1,,1,,1,30,,,,,,1,2,,2,,1,,,2,1,,1,,,,,16,,,1,,1,,,,,,,,,10,,,,2,,,3,,,1,,,,,,2,3,,,11,,,,,,,,,3,,,,,,,,,,,,21,,,,,3,6,,,14,5,,,,,14,,,,,,,,,,,,3,,1,,,2,,,,,1,,,,15,,,,1,,,,,,,,,1,,,1,,84,,,,,1,,,,,,,,,,,,,,1,,,1,1,,,15,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1,,,1,,2,1,,3,,,1,,,,1,,,,,,3,,,,,1,,,1,,,,60,,,,,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,2,,,,,3,,,30,,,,,,,3,,1,,1,,,,1,,1,,,3,,,,,1,,2,,,,,6,,,6,,,,,1,,,3,,,1,,,,,,3,,2,,10,,,,,,,,,,,,1,,,,,,,,3,5,,13,,,,16,,,14,5,,,,,14,,,,,,,,,,,,,,2,,,1,,,,,,14,,,3,,,,4,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,3,,,,2,,,1,1,,,14,,2,,,,,,,3,,,,,,10,,2,,,,,,,,,,,3,,1,,,1,,2,1,,6,,,,,,,1,,,,,3,,,,,,1,,,2,,,1,,,,,10,,,,,,5,2,24,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,2,,,1,,3,,,30,,,,,,,2,,1,,1,,,,1,,1,,,,,14,,,1,,,,,,,11,,,,,,,,,,,,,,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,14,,,,5,,,28,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,15,,,,,,,,11,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,1,2,,2,,,1,,,,,,,,,,,30,,3,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,1,,1,,,,,,,,,3,,1,,,1,,,2,,1,,,,,,2,2,,,1,,,,30,1,1,25,10,3,10,7,1,14,16,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,2,,,1,,,,1,30,,,,,,,2,,1,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,5,,13,1,,,,,,,3,1,5,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,20,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,3,,,,2,,,1,,,2,,,1,,,,,,,3,,,,,,11,,,,,,,,,,,,,1,,1,,,1,,2,1,,3,,,2,,,,1,,,,,3,3,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,15,,1,,,,,,1,,,,,5,10,16,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,2,,,1,,3,,2,,,,,,,,2,,1,,,,,,2,,2,,,3,,,,,1,,1,,,,,,,,3,,,,,1,,,2,,,2,,,,,,,,2,10,,,,,,,,,,,,,3,,,,,,,,,,,,,,,15,,,28,5,,,,,,,,,,,,,,,,1,3,,1,,,2,,25,15,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2,,,,,6,,,,,,,,,1,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,1,,,1,,,,,1,,15,,1,,,,,,3,,,,,2,,,1,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,6,,,1,,15,14,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
