,P81088,E81032,G84607,D83038,F86044,M82035,F82030,M81041,D83079,G82768,Y03040,C83073,B85061,J82190,M82016,L84011,E82019,P89006,P81084,J82122,Y00626,Y00351,G85034,Y02471,P89005,F81184,Y00898,M83638,F81007,Y02893,P86018,C84605,Y01177,M89027,E81006,M81008,C88047,C84629,J83030,F81125,Y00523,M82026,C88653,D81035,J84017,B86050,D82096,G82233,B83031,F84747,F81192,J82079,G82111,J82138,J82049,K84074,G84024,B82012,J82090,P84056,N84010,C88026,Y02476,C83083,J82098,A83031,F86011,J82056,A82014,P81771,G82205,B86092,Y04419,Y03312,G85685,C87603,J82085,P89012,F81181,L81039,K84019,K81025,E83025,F85656,D83064,C84029,C88024,B87039,Y05165,G82097,H84625,F81101,L84031,F86036,D82005,C84001,K82034,H81039,L81024,B83621,H82008,L82042,G82732,P83006,G82080,D82064,A83032,M82014,G82666,G81680,L81617,J84015,K83042,F81116,H85033,A85008,C81021,M82047,G82165,M88003,H82640,H81056,E85049,A81033,G82057,E83050,C87030,Y01838,J82169,K84624,Y05019,J82114,F83666,F86692,F81011,J82044,F81117,J82218,M88007,Y05813,P83009,C82054,Y00057,L83646,N81051,P81047,F81019,F81043,J82083,B83002,J82174,C88036,B87003,L83008,M85016,G81039,M83121,K84030,G82044,Y02045,G85051,G82051,M84011,E82044,C81010,Y01794,G82112,F83015,H85680,A82003,L84081,G82031,Y04256,Y02646,F81014,Y04669,Y06416,E87029,F82019,L84080,F81633,Y02759,G81007,M85706,H82038,F81042,F81681,F81052,Y06424,L84037,K81028,J81046,F84039,L83071,Y03296,C81030,F81095,F84025,G82697,C87029,Y05613,P85614,A82015,F81097,A89009,L84015,G82100,Y05555,G81071,Y05364,M85139,D83048
2016-12-01,,,,,,,,,,,,,,24,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,4,,,12,,,,,,,,,,,,12,,,,,,,,,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,12,56,1,28,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,8,,2,,,,14,,,,,,,28,,,,,,,,,,,,,4,,,24,,,,28,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,56,12,,56,,,,,,,,,,7,,,1,,,,,,,,28,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,36,,,,,,,,,,,,4,30,4,3,,,14,,,,,,,,,,,,,,,,,,,,8,,,24,,,,,,,,,4,,,6,,6,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,56,1,56,28,56,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,28,,,,,28,4,,2,3,,,14,,,,,,,28,,,,,,,,,,,,,4,,,12,,,,,,,,28,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,4,1,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,36,,,,,,,,,,12,,4,,2,,,,28,,,,,,,,,,,,,,,,,,,,4,,,12,,,,28,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,28,4,30,2,3,,,,,,,,,,,,,,,,,,,,,,,4,,,12,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,28,,,,,,4,,2,3,,,28,,,,,,,,,,,,,,,,,,,,4,,,12,,,,28,,,,,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,28,4,,2,,,,14,,,,,,,28,,,,,,,,,,,,,4,,,12,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,28,,,,,,4,,2,,,,14,,,,,,,,,,,,,,,,,,,,4,,,24,,,,,,,,28,,,,8,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,21,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,,,,,,,,,,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42,240,56,84,7,28,28,30,28,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
