,D82044,P87613,B86038,A81035,M82042,M85029,C81080,M82620,K84005,C88076,C84012,J83056,E83046,J82076,J83014,J81056,C85004,J82112,B81005,J82147,J82210,B87011,C87013,J82017,J83003,J81006,C81008,C84024,Y02672,J82625,P84024,J81021,C81004,A87020,J82169,P88031,M88035,M85086,E81014,Y00411,L84009,M81083,J83049,J82131,J83004,A86028,L83106,C81095,J83020,K83032,J82196,B81697,C84115,A88002,Y01108,J83021,H81021,P84019,D83060,Y04543,M85018,E82051,P84040,F81095,C82102,E82107,J83060,Y01008,F84041,B82013,B86075,C83002,J82074,L85065
2017-10-01,25,5,,,,,,,,,5,,25,,,,30,,,,,,,,,,,,5,,,,,,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,5,,,10,,,,,25,10,25,,,10,25,,,,,,,,,5,,,,,,,,25,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,,10,,,,,,,,,,5,,,,,,,,,25,5,,10,,,,,,,,,,,,,5,,,,,,,,,,,25,,,25,10,,,,,,,,,,,,,,,,,,,
2018-01-01,25,5,,,10,,,,,,10,25,,25,10,25,,,25,,,,,,5,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,,,,,5,,30,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
2018-03-01,25,5,,,10,,,,,,10,,,,5,,,,25,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,25,,,,,25,5,,,,,,,,,,,,,,,,,
2018-04-01,25,,,,10,,,,,,5,25,25,,5,,,,50,,,,,25,5,,,,,,,,,,,,50,,,,,,,,,,,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
2018-05-01,,5,,,10,,,,,,5,,,25,5,,5,,,,,,,,5,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
2018-06-01,,,,,10,,,,,,5,,,,5,,,,25,,,,,,5,,,,50,25,,,25,,,,,,,,,,,,,,,,,,25,,,,10,,,10,,,,,,,,,,,,,,,,
2018-07-01,,10,,,,,25,,,,5,50,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
2018-08-01,25,5,,,20,,,,,,5,,,,10,,,,,50,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,25,,,,10,,,,,25,,,,,,,,,,,,,,
2018-09-01,25,,,,10,,,,,,5,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,5,,,,,,,,25,5,,,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,10,,,,,,5,5,,,,,,,,,,,,
2018-11-01,25,5,,,,,,,,,10,,,,5,,,,25,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,10,,,,,,5,,,,,,,,,,,
2018-12-01,,5,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
2019-01-01,,,,,,,,,,25,5,25,25,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
2019-02-01,25,5,,,10,,,,,,5,25,,,,,,,,50,,,,,25,,10,,50,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,10,,,25,5,,5,,,,,,,,,,,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
2019-04-01,25,,,,10,,,,,25,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,25,25,30,,,,,,,
2019-05-01,25,5,,,,,,,,,10,25,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
2019-06-01,,5,,,10,,,,,25,10,,,,5,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,10,25,,,,,
2019-07-01,,,,,25,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,25,,,,
2019-08-01,25,,,,10,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,,,25,20,25,,
2019-09-01,,5,,,,,25,,,,10,,,25,5,,5,,,50,,,,,25,,10,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,25,,25,5,,,,,5,
2019-10-01,25,,,,,,,,,25,10,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,5,,,,,,,,25,,,,,10
2019-11-01,,5,,,,,,,,,10,,,,,,,,,,,,,,25,,,,50,,,,,,,,,,,,,,,,,,,,,,25,,,100,10,,,,,,,,,,,,,5,,,,,,
2019-12-01,25,,,,,,,,,,10,25,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,25,,,,,,,,,10
